bet_id,matchup_id,category,selection,published_book,available_book,offered_moneyline,estimated_win_probability,estimated_expected_return,threshold_met,comparison_book_count,source_quote_updated_at_utc,different_from_published_book,eligibility_basis
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Total rounds,Over 3.5 rounds,BetOnline.ag,BetUS,210,0.7790103490210136,1.4149320819651425,True,3,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Total rounds,Over 3.5 rounds,BetOnline.ag,BetOnline.ag,212,0.7790103490210136,1.4305122889455628,True,3,2026-09-04T17:26:25.000000Z,False,same published selection; fresh saved prices; raw policy EV
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Total rounds,Over 3.5 rounds,BetOnline.ag,DraftKings,195,0.7790103490210136,1.2980805296119904,True,3,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Total rounds,Over 3.5 rounds,BetOnline.ag,BetAnything,200,0.7790103490210136,1.337031047063041,True,3,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
6db050e16910691e22e7c9967884f6def70d37fae4d9a4a984ce8fe4e4492273,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Total rounds,Over 2.5 rounds,Bovada,Bovada,120,0.8429376274832738,0.8544627804632026,True,0,2026-09-04T17:23:47.000000Z,False,same published selection; fresh saved prices; raw policy EV
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Total rounds,Over 1.5 rounds,Bovada,BetOnline.ag,111,0.6826153456050497,0.44031837922665495,True,3,2026-09-04T17:26:25.000000Z,True,same published selection; fresh saved prices; raw policy EV
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Total rounds,Over 1.5 rounds,Bovada,BetAnything,105,0.6826153456050497,0.39936145849035176,True,3,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Total rounds,Over 1.5 rounds,Bovada,BetUS,114,0.6826153456050497,0.4607968395948061,True,3,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Total rounds,Over 1.5 rounds,Bovada,Bovada,115,0.6826153456050497,0.46762299305085664,True,3,2026-09-04T17:23:47.000000Z,False,same published selection; fresh saved prices; raw policy EV
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Total rounds,Under 2.5 rounds,BetOnline.ag,BetUS,142,0.5678962666990528,0.3743089654117078,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Total rounds,Under 2.5 rounds,BetOnline.ag,Bovada,140,0.5678962666990528,0.3629510400777267,True,4,2026-09-04T17:23:47.000000Z,True,same published selection; fresh saved prices; raw policy EV
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Total rounds,Under 2.5 rounds,BetOnline.ag,BetAnything,140,0.5678962666990528,0.3629510400777267,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Total rounds,Under 2.5 rounds,BetOnline.ag,DraftKings,145,0.5678962666990528,0.39134585341267947,True,4,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Total rounds,Under 2.5 rounds,BetOnline.ag,BetOnline.ag,145,0.5678962666990528,0.39134585341267947,True,4,2026-09-04T17:26:25.000000Z,False,same published selection; fresh saved prices; raw policy EV
