bet_id,selection,scenario,at_utc,current_browser_visible_if_snapshot_unchanged,eligible_with_source_expiry
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,Over 3.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,Over 3.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,Over 3.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
b5392d9bd5456136e909c804e04fc8e5a874c5de0571d2bc83bfcea3aa049f0a,Over 3.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
6db050e16910691e22e7c9967884f6def70d37fae4d9a4a984ce8fe4e4492273,Over 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
6db050e16910691e22e7c9967884f6def70d37fae4d9a4a984ce8fe4e4492273,Over 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
6db050e16910691e22e7c9967884f6def70d37fae4d9a4a984ce8fe4e4492273,Over 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
6db050e16910691e22e7c9967884f6def70d37fae4d9a4a984ce8fe4e4492273,Over 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,Over 1.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,Over 1.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,Over 1.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
9f9268ea86192a8e9cd6b35f3e1209d068810b5d1b35efe0c6747247f2518801,Over 1.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,Under 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,Under 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,Under 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
5461e508ac16f66e5f0339d917165f846b04613313778908538c573b3393179c,Under 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
f66117295e68bae8bf8eea623f35e6b92659b4545777857c5260cead8b175d33,Over 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
f66117295e68bae8bf8eea623f35e6b92659b4545777857c5260cead8b175d33,Over 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
f66117295e68bae8bf8eea623f35e6b92659b4545777857c5260cead8b175d33,Over 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
f66117295e68bae8bf8eea623f35e6b92659b4545777857c5260cead8b175d33,Over 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,Under 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,Under 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,Under 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
cbe9992fbe4b4f5905f9e772412877951afc30f3c3ff4c114ed0875a36d77d02,Under 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,Over 1.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,Over 1.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,Over 1.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
fc08f5539c8e11dfcc18a3e5ea7dc0ad62f2b836ac2f799cecc76db334e373fd,Over 1.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,Under 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,Under 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,Under 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,Under 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,Over 1.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,Over 1.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,Over 1.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,Over 1.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,Tai Tuivasa,as_of,2026-09-04T17:26:56.686757Z,True,True
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,Tai Tuivasa,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,Tai Tuivasa,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,Tai Tuivasa,event_start,2026-09-20T00:00:00Z,True,False
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,Under 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,Under 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,Under 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,Under 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,Under 2.5 rounds,as_of,2026-09-04T17:26:56.686757Z,True,True
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,Under 2.5 rounds,plus_30_minutes,2026-09-04T17:56:56.686757Z,True,False
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,Under 2.5 rounds,plus_6_hours,2026-09-04T23:26:56.686757Z,True,False
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,Under 2.5 rounds,event_start,2026-09-05T16:10:00Z,True,False
