matchup_id,fighter_name,opponent_name,scheduled_rounds,schedule_basis,method_probability_count,total_probability_count,decision_probability,over_3_5_probability,forecast_status
matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Dan Hooker,Salahdine Parnasse,5,ufcstats_first_listed_main_event,4,5,0.7047356120467434,0.7769323001228637,candidate_model
matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Fares Ziam,Axel Sola,3,ufc_standard_non_main_non_title,4,3,0.5603296633048445,,candidate_model
matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page,Nursulton Ruziboev,3,ufc_standard_non_main_non_title,4,3,0.4460571241458095,,candidate_model
matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko,Punahele Soriano,3,ufc_standard_non_main_non_title,4,3,0.37606631914736266,,candidate_model
matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell,Trevor Peek,3,ufc_standard_non_main_non_title,4,3,0.5572058408901861,,candidate_model
matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita,Muhammad Naimov,3,ufc_standard_non_main_non_title,4,3,0.4308047741884812,,candidate_model
matchup_e77fa0e4f3862227418eef40fbbb1a99437034414985a81107bee615f9da08ca,Morgan Charriere,Felipe Lima,3,ufc_standard_non_main_non_title,4,3,0.5608910599162361,,candidate_model
matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto,Ryan Spann,3,ufc_standard_non_main_non_title,4,3,0.43667356327080525,,candidate_model
matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Oumar Sy,Modestas Bukauskas,3,ufc_standard_non_main_non_title,4,3,0.49338288638030514,,candidate_model
matchup_5ba9978871b848d5b7445f82c33ad8b233afd688c6347983e72b3aec7be3e696,Nathaniel Wood,Pavel Andrusca,3,ufc_standard_non_main_non_title,4,3,0.44304511800971663,,candidate_model
matchup_4b14d6546c8101cf4e7844a682d653e6a80eb09ed63c589aec54a33e149df254,Michael Aljarouj,Fabia Sintes,3,ufc_standard_non_main_non_title,4,3,0.5219360128865129,,candidate_model
matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Nora Cornolle,Klaudia Sygula,3,ufc_standard_non_main_non_title,4,3,0.5354959738588436,,candidate_model
matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Matthieu Duclos,Luis Felipe Dias,3,ufc_standard_non_main_non_title,4,3,0.49852570621797754,,candidate_model
matchup_c6f99d827d99147ec40154996f5cd9c439402f8c1fe7b0c6d927bd3c81990c61,Delphine Benouaich,Sofia Montenegro,3,ufc_standard_non_main_non_title,4,3,0.5219360128865129,,candidate_model
