split,scheduled_rounds,schedule_basis,fights,over_3_5_fights,finish_before_round_4_fights,decision_fights,over_3_5_rate
development,3,assumed_three_round_early_finish,1928,0,1928,6,0.0
development,3,inferred_from_decision_duration,1812,0,1812,1812,0.0
development,5,inferred_five_round_late_finish,43,37,0,0,0.8604651162790697
development,5,inferred_from_decision_duration,163,163,0,163,1.0
holdout,3,assumed_three_round_early_finish,329,0,329,1,0.0
holdout,3,explicit_time_format,293,0,293,123,0.0
holdout,3,inferred_from_decision_duration,308,0,308,308,0.0
holdout,5,explicit_time_format,29,14,15,11,0.4827586206896552
holdout,5,inferred_five_round_late_finish,6,4,0,0,0.6666666666666666
holdout,5,inferred_from_decision_duration,32,32,0,32,1.0
