timing,staking,record_id,market_key,event_id,event_date,category,selection,target_book,offered_moneyline,published_at_utc,settled_at_utc,status,stake,profit,sizing_probability,assessment_timing
official_t24,full_kelly,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,1.4494762379767299,-1.4494762379767299,0.19367753285617323,retrospective_policy_using_only_prepublication_calibration_data
official_t24,full_kelly,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,1.052139230321254,-1.052139230321254,0.12693064026754047,retrospective_policy_using_only_prepublication_calibration_data
official_t24,half_kelly,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0.7247381189883649,-0.7247381189883649,0.19367753285617323,retrospective_policy_using_only_prepublication_calibration_data
official_t24,half_kelly,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0.526069615160627,-0.526069615160627,0.12693064026754047,retrospective_policy_using_only_prepublication_calibration_data
official_t24,third_kelly,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0.4831587459922433,-0.4831587459922433,0.19367753285617323,retrospective_policy_using_only_prepublication_calibration_data
official_t24,third_kelly,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0.3507130767737513,-0.3507130767737513,0.12693064026754047,retrospective_policy_using_only_prepublication_calibration_data
official_t24,flat_one_percent,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,1,-1,0.19367753285617323,retrospective_policy_using_only_prepublication_calibration_data
official_t24,flat_one_percent,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,1,-1,0.12693064026754047,retrospective_policy_using_only_prepublication_calibration_data
official_t24,robust_bayesian_kelly,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0,0,0.13288829619831904,retrospective_policy_using_only_prepublication_calibration_data
official_t24,robust_bayesian_kelly,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0,0,0.07337738044856817,retrospective_policy_using_only_prepublication_calibration_data
official_t24,half_kelly_model_blend,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,4.049481931408162,-4.049481931408162,0.24808243160486082,retrospective_policy_using_only_prepublication_calibration_data
official_t24,half_kelly_model_blend,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,8.975636883924668,-8.975636883924668,0.2760406508927883,retrospective_policy_using_only_prepublication_calibration_data
first_qualifying,full_kelly,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,1.4494762379767299,-1.4494762379767299,0.19367753285617323,retrospective_policy_using_only_prepublication_calibration_data
first_qualifying,full_kelly,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,1.052139230321254,-1.052139230321254,0.12693064026754047,retrospective_policy_using_only_prepublication_calibration_data
first_qualifying,full_kelly,198e54f759f556384202700b3390a5eeb7e9f1b60c6b52d224481da0f87523ff,total:matchup_443225c1e560d888001c2519d5a4e68297c2ac5ddaa7415a82cf763130041fac:Under 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Under 2.5 rounds,BetOnline.ag,334,2026-08-29T04:31:48.487351Z,,won,14.533359607339992,48.54142108851557,0.5819145967369079,
first_qualifying,full_kelly,37bd9440c2e03102ee72fac5da69a155e436a2d257b3a9e2a4e36653491c1168,total:matchup_f593d6bfd53b8a1bd4b33f94a3d784a98c2c53d4161a5587ec7eb6917b243c99:Under 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Under 2.5 rounds,BetOnline.ag,130,2026-08-29T04:31:48.487351Z,,won,6.702969265140434,8.713860044682564,0.5538478870501724,
first_qualifying,full_kelly,b8081d749a89d206427d07ee44e5453635104f4bcfef2fabbf71232398f7aef5,total:matchup_389c1ce1797683bddb624227d64640e8a62ab358736501837929bd80cfa4e3fa:Under 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Under 2.5 rounds,BetUS,166,2026-08-29T04:31:48.487351Z,,lost,4.839178260280205,-4.839178260280205,0.47084733335264695,
first_qualifying,full_kelly,0fcc1cd532645f1c631e9caa974103672e7925816e71546bfbde068d8960c84e,moneyline:matchup_d9b7e67887f117b7d52f7ddf124e1aec94ae0954605b34bceb2737065151e087,9d61d8cb1c354867,2026-08-29,Moneyline,Kevin Borjas,FanDuel,640,2026-08-29T04:31:48.487351Z,,lost,0.5361200108708055,-0.5361200108708055,0.1497069169293117,retrospective_policy_using_only_prepublication_calibration_data
first_qualifying,full_kelly,c870e2e6cdf739a66231320a43f02b7638d9b94830d4a6e5184e84ac2f7ee4d9,total:matchup_d9b7e67887f117b7d52f7ddf124e1aec94ae0954605b34bceb2737065151e087:Over 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 2.5 rounds,Bovada,120,2026-08-29T04:31:48.487351Z,,lost,6.269375638813943,-6.269375638813943,0.5620149585487008,
first_qualifying,full_kelly,0eaa5c05b93efd67f5f63739dfad4a2cf902d863c63c2a4231ba5b831e7dc99a,total:matchup_228ab0d3e5153efa04bef071bfc37650479a59f22b1ca840ddbee8508e9fba3c:Over 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 2.5 rounds,Bovada,130,2026-08-29T04:31:48.487351Z,,lost,7.000863958511732,-7.000863958511732,0.5591394098341196,
first_qualifying,full_kelly,10993f3d57f1c170db5437b6a12c2c5ead9dc1bda88e97aefbb02cf4472d9273,total:matchup_228ab0d3e5153efa04bef071bfc37650479a59f22b1ca840ddbee8508e9fba3c:Over 1.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 1.5 rounds,BetAnything,-155,2026-08-29T04:31:48.487351Z,,lost,7.570015880760038,-7.570015880760038,0.7011382722466893,
first_qualifying,full_kelly,88e161e5d5b9390e84b8aafdaf53839dd7ad5e5a4bac774340d18c581250b284,total:matchup_2e7ecfa4cf636c685bb4b274cad9c799cdb45c485fc9463c9f057b014ede92e2:Over 1.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 1.5 rounds,BetOnline.ag,177,2026-08-29T04:31:48.487351Z,,lost,18.999585563326722,-18.999585563326722,0.7425507750026366,
first_qualifying,full_kelly,12d9bfba272cbc0ab91affb97cb635c13170444cd99c208ee8f5f8036f494c2a,total:matchup_e61f9a55914091d7622712ef84540890dd4ebb88a4aac498188817c9afcff0b5:Over 1.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 1.5 rounds,BetAnything,-125,2026-08-29T04:31:48.487351Z,,lost,10.37964593640682,-10.37964593640682,0.700533657133996,
first_qualifying,full_kelly,61438fb9dfe8d2f3b5c40052f4a396bdf95091da9bfbfd52371263c8fa1cabc9,total:matchup_e61f9a55914091d7622712ef84540890dd4ebb88a4aac498188817c9afcff0b5:Over 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 2.5 rounds,BetOnline.ag,153,2026-08-29T04:31:48.487351Z,,lost,8.549131376230248,-8.549131376230248,0.5577351876345258,
first_qualifying,full_kelly,5fd40c2b258e5b887ee0f5fa1d2830fb3928df54825b42f2ba7fb6862c5fef4b,total:matchup_3f9998cf552d693a33fb9a4f175d13960075bb7373e376abb8b51a1abb51b356:Under 2.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Under 2.5 rounds,BetAnything,240,2026-08-29T04:31:48.487351Z,,won,4.250296226428598,10.200710943428636,0.3884051016166957,
first_qualifying,full_kelly,00c5bded54e79c16d861df219cf0b957758acca6d357a9fa4e7ed0bd1832c939,moneyline:matchup_fe882adb53c9e40d42c3fb9e530f1c9634fb66cf626222156d002a5014c30b56,9d61d8cb1c354867,2026-08-29,Moneyline,Song Yadong,Bovada,500,2026-08-29T04:31:48.487351Z,,won,0.39797917077392736,1.9898958538696367,0.17708939658203426,retrospective_policy_using_only_prepublication_calibration_data
first_qualifying,full_kelly,487f166f4ab4147b25d745e1ca553d66e29ab688d6e95a0c1bbe6bb48c71a556,total:matchup_fe882adb53c9e40d42c3fb9e530f1c9634fb66cf626222156d002a5014c30b56:Over 4.5 rounds,9d61d8cb1c354867,2026-08-29,Total rounds,Over 4.5 rounds,BetAnything,-190,2026-08-29T04:31:48.487351Z,,lost,7.469863636818556,-7.469863636818556,0.7361224529516154,
first_qualifying,half_kelly,30dc1ca97b928526451beb2033f87f045d643f29f501c885265f518ee1dbdbe8,moneyline:matchup_f02d13336e28fd11d4d67ce3b551ef79a82807effcfdfa6987ffff00233b14ae,a0a69dc9914ef6e1,2026-08-22,Moneyline,Jeisla Chaves,Bovada,450,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0.7247381189883649,-0.7247381189883649,0.19367753285617323,retrospective_policy_using_only_prepublication_calibration_data
first_qualifying,half_kelly,359c8bfcf414a032b5e773b1e19abe335bca6b71f84842bab37d209c1c05b425,moneyline:matchup_fed9bd92cf25bf722674809712169440431c7630ef62bc2874998709ca4801e9,a0a69dc9914ef6e1,2026-08-22,Moneyline,Terrance Chatman,BetMGM,750,2026-08-21T17:30:20.218293Z,2026-08-25T00:13:05.000000Z,lost,0.526069615160627,-0.526069615160627,0.12693064026754047,retrospective_policy_using_only_prepublication_calibration_data
