source,source_fighter_id,source_fighter_name,canonical_fighter_id,canonical_source,status,match_method,evidence_count,reviewed_at_utc,notes
kaggle_pro_mma_fights_v1,/fighter/Aalon-Cruz-103485,Aalon Cruz,003d82fa384ca1d0,ufcstats,approved,historical_ufc_bout_exact,2,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 29b939100beaf066edcc23255dd4caed4e045da37d2ad6d84b37b57b193b3b41,65ef4b74faa37e8946cdb6a6ec89e1591753fb977bac7af72f72704fe19b40a7"
kaggle_pro_mma_fights_v1,/fighter/Aaron-Brink-271,Aaron Brink,cf1a88371c8cb690,ufcstats,approved,historical_ufc_bout_exact,1,2026-08-22T21:14:50+00:00,unique date/name-pair witnesses; source bouts: cb5a947d8ccb1252d1118af944ea44437abdaf5fad5533be577af795c097b7f9
kaggle_pro_mma_fights_v1,/fighter/Aaron-Phillips-55298,Aaron Phillips,34c2b3656f88f7ef,ufcstats,approved,historical_ufc_bout_exact,3,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 1602ed2c51856105c5ab59508d008303a8c0de7c50e4e9238f3f9ff35e2dd394,5e172aa00bb86c4eaec5a4c2e2728d5840d938c598751c36c6c903dcfff1ed68,f83b831ede7aca10a070f40784e87769c88b583750ff03ad6cd3440ec1eb74d6"
kaggle_pro_mma_fights_v1,/fighter/Aaron-Riley-1567,Aaron Riley,f2c8ebbeafd45f2b,ufcstats,approved,historical_ufc_bout_exact,9,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 4627fa7800c3841f9895d465a2fcb2876a623326c69a59b2e169ca39d19aaa0a,5020811f31b72fa6195bd08a8808a3bb399c3cb59ebcff68a0fafd29aa2d0e5a,6d8c7b8844899912328ff174312084f535381c60174c5574564a8c0484b41b56,7f3c7e4c66c520d7dc8764bb6697372a36e28b7068b1adcd93487c3174a3cbfd,80938166a3b8c56a38a94f1465040ff20a5a4cfd468ae67030f03c3f7e3d9818"
kaggle_pro_mma_fights_v1,/fighter/Aaron-Rosa-15129,Aaron Rosa,11f8860028b68fcf,ufcstats,approved,historical_ufc_bout_exact,2,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 33aaf8aef7767243ebc72ee5d32583fdb2275ef588b56be6122612d7cc757387,eacbf54714827d28a6f3bd1d52d75aeb5769e96c44c891877999475f62cb6c21"
kaggle_pro_mma_fights_v1,/fighter/Aaron-Simpson-24986,Aaron Simpson,d5f820c11a121050,ufcstats,approved,historical_ufc_bout_exact,11,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 06f38d566629f89f7e1bd2c31dcedc1e09ab9075851cb343e8f0e145bfa4b718,124f3efaf0b086583cab0a93ad0bf21630791152197ef76638b5e2ff07187fe1,16d504218c76f54dc1465c649c0bdd4359f5cc1e9ccb8e4a53ee8a51dff9a3f9,241d88224f332c670c48a95d58edc33149fc9d69d6676eaf9b364a88fdf61a7c,9c3bd82dafe0b891c04e957d08aa2b9f88e01abb2eb939b85b71c89e5f20a208"
kaggle_pro_mma_fights_v1,/fighter/Aaron-Wilkinson-39265,Aaron Wilkinson,338a11d3674eb2d4,ufcstats,approved,historical_ufc_bout_exact,1,2026-08-22T21:14:50+00:00,unique date/name-pair witnesses; source bouts: 695b9aa215436a57eb9149f16aaed88ef16f505201132ca31f130d3221aa7c9d
kaggle_pro_mma_fights_v1,/fighter/Abdul-Razak-Alhassan-151701,Abdul Razak Alhassan,eae431e70064e046,ufcstats,approved,historical_ufc_bout_exact,7,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 3874194db161002e1fa7e9aa58a7bdb63fc689cb3ca2bda4eebc17dd0423e9cf,5c266fe2118381afc4d66fdbdb978c462051287c51c61ac12e5db3bd36ec8620,708e2f183960397979210ba5cedf946fb0c5beb39afd048abff00b27d4033afa,814f91a81204c2e6a18484e6d615c810f0a52da9f292c381c1d2c584ba907ccf,c972cd7ca63bedc859fe78cd6a28b00cd1ac1cb506ed2a9c7b23310e79fac167"
kaggle_pro_mma_fights_v1,/fighter/AbdulKerim-Edilov-63045,Abdul-Kerim Edilov,37e03538c960bac6,ufcstats,approved,historical_ufc_bout_exact,1,2026-08-22T21:14:50+00:00,unique date/name-pair witnesses; source bouts: c4300d7e6868b20eb49e9a382078fc9f408c77f4b17ec25248514e9a0a6f10ac
kaggle_pro_mma_fights_v1,/fighter/Abel-Trujillo-17129,Abel Trujillo,e14b5aa06eea9653,ufcstats,approved,historical_ufc_bout_exact,11,2026-08-22T21:14:50+00:00,"unique date/name-pair witnesses; source bouts: 0f014e9e72bb7476d3ac958e37bfc48633c4c8d0b4d39a73429bb1f4c3e7351d,1aaee7dcb0247d7361e88d3fc2313f52087f7485cc3fb7c1d1d29fbef05b735e,2f897bb4d7f9dae4fe3aecdf53fe5d0271fc3c809f40c8f392c4a193e06c89ef,463e92e78ce8f1c860144fcc14ecd6c12c82beb097ed10b288e84a18d7ed7356,49e1e1fe9df55c9f3d03d3bf99d0328fa2aa4e8cdc1e4ec70def778d19f632e0"
