date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_model_probability,selected_rankings_probability,all_rankings_probability,expanded_history_probability,expanded_history_features_changed,expanded_history_all_rankings_probability,market_probability,book_count,fixed_equal_logit_blend_probability,blend_probability,blend_status,selected_gamma
2022-01-15,f5585e675af7afd4,3738135e4c9d8273,3d074044a33825e7,523fa774700d7d3f,Ramiz Brahimaj,Court McGee,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.57497208217633,0.572129114259642,0.586788968574623,0.494515678082974,True,0.515946235936706,,,,,,
2022-01-15,f5585e675af7afd4,3a8c0158d910546d,40093d1d2d78394e,d31cbcdd7d69536d,Charles Rosa,TJ Brown,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.374295991314742,0.374941536492331,0.364501587965371,0.461309061037276,True,0.433930538544487,,,,,,
2022-01-15,f5585e675af7afd4,3bcbb0e039f4f5d8,01b352b6a9074d5c,92fa1401b7927da3,Chase Sherman,Jake Collier,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.430719932023563,0.434453021333536,0.442771238433163,0.406712250191528,True,0.420271709095059,,,,,,
2022-01-15,f5585e675af7afd4,7c2a02b5ea169b54,35b3772629e27a49,7be14eaed4c74856,Kevin Croom,Brian Kelleher,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.471498726306075,0.474169349509736,0.493856162582912,0.34265619590694,True,0.378637192741095,,,,,,
2022-01-15,f5585e675af7afd4,8693027377658e61,791c8437b341fba5,9abc648e76c4493a,Joanderson Brito,Bill Algeo,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.477806636655802,0.478963771455037,0.501177017245001,0.605016972924507,True,0.606265405294164,,,,,,
2022-01-15,f5585e675af7afd4,8d89f3b8798f444d,07a2bdaa0afdd831,6e15f63b6c2e2c15,Rogerio Bontorin,Brandon Royval,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.49386020251013,0.494733479313301,0.476740197854197,0.493379516897967,True,0.477548037461468,,,,,,
2022-01-15,f5585e675af7afd4,9dfcf675cf2c1575,751de04455cfaac0,9560ff14eb3129f7,Calvin Kattar,Giga Chikadze,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.323917030297761,0.325675901622891,0.335419314640809,0.302910284523255,True,0.318243172495644,,,,,,
2022-01-15,f5585e675af7afd4,b5b5156c713c5d47,19c591115a58982c,3033c1c080672475,Viacheslav Borshchev,Dakota Bush,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.498279214267325,0.497203455157843,0.500009478417334,0.636381525454454,True,0.632588168888265,,,,,,
2022-01-15,f5585e675af7afd4,e8517ed0b49abc37,830f60497fab345a,8d20d76af3f213ce,Jamie Pickett,Joseph Holmes,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.291360501755849,0.293100585176902,0.301258157443991,0.303223962498027,True,0.298589595603538,,,,,,
2022-01-15,f5585e675af7afd4,f9a4e625dffc30d4,8e1f36476ef02a6a,e872e9a9a902c045,Jennifer Maia,Katlyn Cerminara,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.360908788069379,0.317538211278742,0.355728559400532,0.368783354138869,True,0.357423193289246,,,,,,
2022-01-22,335ad945324c3a2e,0669231ebe3dd560,6b453bc35a823c3f,776d4262c4da38bf,Jack Della Maddalena,Pete Rodriguez,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.511903580322246,0.512056440976492,0.511993609551104,0.6513072000386,True,0.64360051420176,,,,,,
2022-01-22,335ad945324c3a2e,0a0beb5aa9810de4,4100c7a09497ad41,a9e260472d321361,Kay Hansen,Jasmine Jasudavicius,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.705752665945074,0.705579575991495,0.688945726746163,0.632456241507437,True,0.612138148041548,,,,,,
2022-01-22,335ad945324c3a2e,4047c2e259529179,2c483cf443f38ece,b4880ef2f838d4e1,Vanessa Demopoulos,Silvana Gomez Juarez,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.500481526477101,0.497653929520873,0.489746241640708,0.436070442272526,True,0.436170465177084,,,,,,
2022-01-22,335ad945324c3a2e,44a55ba1de2b30e2,b9f28e7045fdfce7,eb8d8c2a95cfccb8,Raoni Barcelos,Victor Henry,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.751490164011923,0.746821987921275,0.709320301527381,0.750488787715491,True,0.712420823467369,,,,,,
2022-01-22,335ad945324c3a2e,453283e947919ff7,b27a1fcb56a3035a,c32aeb1a59e6272d,Trevin Giles,Michael Morales,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.524595250189613,0.521716223038896,0.488279355935469,0.522659457881604,True,0.490760032530189,,,,,,
2022-01-22,335ad945324c3a2e,5ba543efdce072f5,33efaf2d0941cfcf,595db60957de51d3,Andre Fialho,Michel Pereira,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.301181340060723,0.305048850988573,0.337660882865018,0.348995045328632,True,0.382228291530637,,,,,,
2022-01-22,335ad945324c3a2e,5da7168ac2ff0e1d,cda1099995b46cc2,dccb63727f2f5f74,Genaro Valdez,Matt Frevola,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.555574903680529,0.55236063655387,0.569950378403376,0.501154824241426,True,0.521708979088199,,,,,,
2022-01-22,335ad945324c3a2e,80f65ee9b6f8d63b,0fd5f4b838e890cc,bf7ad5628363eec9,Said Nurmagomedov,Cody Stamann,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.543138316342546,0.547370364254135,0.554006593149814,0.599567943813173,True,0.595492950634921,,,,,,
2022-01-22,335ad945324c3a2e,9687021e5c4d092a,601964f9654f911a,72ea1984c52019b5,Tony Gravely,Saimon Oliveira,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.550438769433843,0.552806571585448,0.53653824388381,0.490580255393827,True,0.47227052553518,,,,,,
2022-01-22,335ad945324c3a2e,cddd3d4febe097f8,792be9a24df82ed6,aa72b0f831d0bfe5,Brandon Moreno,Deiveson Figueiredo,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.587290828706279,0.637243652326666,0.680769813916534,0.525246702311834,True,0.627233748460293,,,,,,
