date,fight_url,event_url,fighter_url,opponent_url,fighter,opponent,result,method,division,round,time,time_format,total_fight_time,source_card_index,bout_order,emit_training_target,history_source,knockdowns,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,takedowns_landed,takedowns_attempts,sub_attempts,reversals,control
2009-04-03,https://external-mma.invalid/fight-details/external_a39a664600f65ff42e102f5d17b7cea1,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/7e47047d0971d566,https://external-mma.invalid/fighter-details/external_03358ed0deb4a323d6da53fe,Daniel Sarafian,Gary Padilla,L,KO/TKO,Unknown,2.0,,,,10,0,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_a39a664600f65ff42e102f5d17b7cea1,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_03358ed0deb4a323d6da53fe,https://external-mma.invalid/fighter-details/7e47047d0971d566,Gary Padilla,Daniel Sarafian,W,KO/TKO,Unknown,2.0,,,,10,0,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_6042dc55e62565e86d814c740c56784d,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_6280b3d7351ccc5ac602ba10,https://external-mma.invalid/fighter-details/external_287b1b37ed15743c4981f5de,Chris Decaro,Moyses Gabin,L,SUB,Unknown,1.0,,,,9,1,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_6042dc55e62565e86d814c740c56784d,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_287b1b37ed15743c4981f5de,https://external-mma.invalid/fighter-details/external_6280b3d7351ccc5ac602ba10,Moyses Gabin,Chris Decaro,W,SUB,Unknown,1.0,,,,9,1,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_23a9ea803794a4304b0e98dc2b094c4a,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_37403b5f348f04ced447b7f6,https://external-mma.invalid/fighter-details/external_8eda3347810a125e34a0b3da,James Brasco,Kevin Abrante,W,SUB,Unknown,1.0,,,,8,2,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_23a9ea803794a4304b0e98dc2b094c4a,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_8eda3347810a125e34a0b3da,https://external-mma.invalid/fighter-details/external_37403b5f348f04ced447b7f6,Kevin Abrante,James Brasco,L,SUB,Unknown,1.0,,,,8,2,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_0dfbcebbfa80373b64be1c4fb9c489b4,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_669c7ba944ccebe33e42b399,https://external-mma.invalid/fighter-details/external_99348c7c9e99af5d19910d15,Daniel Morales,Lorenzo Borgomeo,L,SUB,Unknown,3.0,,,,7,3,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_0dfbcebbfa80373b64be1c4fb9c489b4,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_99348c7c9e99af5d19910d15,https://external-mma.invalid/fighter-details/external_669c7ba944ccebe33e42b399,Lorenzo Borgomeo,Daniel Morales,W,SUB,Unknown,3.0,,,,7,3,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_70b48f31925b1d8ee802ea54a3e7625c,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/b0a6124751a56bc4,https://external-mma.invalid/fighter-details/external_8ea1c344d2583307238f85e1,Jonathan Brookins,Stephen Ledbetter,W,SUB,Unknown,1.0,,,,6,4,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-03,https://external-mma.invalid/fight-details/external_70b48f31925b1d8ee802ea54a3e7625c,https://external-mma.invalid/event-details/external_dbe44881c384c0a3616711a35ffa07fd,https://external-mma.invalid/fighter-details/external_8ea1c344d2583307238f85e1,https://external-mma.invalid/fighter-details/b0a6124751a56bc4,Stephen Ledbetter,Jonathan Brookins,L,SUB,Unknown,1.0,,,,6,4,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
