date,fight_url,event_url,result,fighter,opponent,division,method,round,time,total_fight_time,fighter_url,opponent_url,source_card_index,bout_order,time_format,knockdowns,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,takedowns_landed,takedowns_attempts,sub_attempts,reversals,control,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts
2026-08-15,http://ufcstats.com/fight-details/365fd759c03e93cf,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Islam Makhachev,Ian Machado Garry,Welterweight,U-DEC,5,5:00,1500.0,http://ufcstats.com/fighter-details/275aca31f61ba28c,http://ufcstats.com/fighter-details/442c9011034ae1fd,0,11,5 Rnd (5-5-5-5-5),1,22,44,78,114,7,15,0,0,750.0,9,31,3,3,10,10,15,36,6,7,1,1
2026-08-15,http://ufcstats.com/fight-details/365fd759c03e93cf,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Ian Machado Garry,Islam Makhachev,Welterweight,U-DEC,5,5:00,1500.0,http://ufcstats.com/fighter-details/442c9011034ae1fd,http://ufcstats.com/fighter-details/275aca31f61ba28c,0,11,5 Rnd (5-5-5-5-5),0,29,65,89,141,0,0,0,0,34.0,7,40,16,17,6,8,22,57,7,8,0,0
2026-08-15,http://ufcstats.com/fight-details/4700d42c9869674a,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Mackenzie Dern,Gillian Robertson,Women's Strawweight,U-DEC,5,5:00,1500.0,http://ufcstats.com/fighter-details/7447e9f28508106a,http://ufcstats.com/fighter-details/38c7f72747f4f712,1,10,5 Rnd (5-5-5-5-5),0,65,168,122,239,4,6,1,0,648.0,40,140,14,17,11,11,55,153,2,2,8,13
2026-08-15,http://ufcstats.com/fight-details/4700d42c9869674a,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Gillian Robertson,Mackenzie Dern,Women's Strawweight,U-DEC,5,5:00,1500.0,http://ufcstats.com/fighter-details/38c7f72747f4f712,http://ufcstats.com/fighter-details/7447e9f28508106a,1,10,5 Rnd (5-5-5-5-5),0,49,131,136,237,1,3,0,2,407.0,37,107,9,19,3,5,24,100,8,10,17,21
2026-08-15,http://ufcstats.com/fight-details/d4bd456d70965734,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Jalin Turner,Kaue Fernandes,Lightweight,KO/TKO,1,0:39,39.0,http://ufcstats.com/fighter-details/4d8fa64202cee4c1,http://ufcstats.com/fighter-details/ec13c393d029297d,2,9,3 Rnd (5-5-5),1,9,14,9,14,0,0,0,0,5.0,8,11,1,2,0,1,1,4,0,0,8,10
2026-08-15,http://ufcstats.com/fight-details/d4bd456d70965734,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Kaue Fernandes,Jalin Turner,Lightweight,KO/TKO,1,0:39,39.0,http://ufcstats.com/fighter-details/ec13c393d029297d,http://ufcstats.com/fighter-details/4d8fa64202cee4c1,2,9,3 Rnd (5-5-5),0,2,4,2,4,0,0,0,0,0.0,1,2,0,1,1,1,2,4,0,0,0,0
2026-08-15,http://ufcstats.com/fight-details/53902dcb3e213b18,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Dustin Stoltzfus,Mansur Abdul-Malik,Middleweight,SUB,2,4:25,565.0,http://ufcstats.com/fighter-details/71505842fb6455c3,http://ufcstats.com/fighter-details/841695e02c99a521,3,8,3 Rnd (5-5-5),0,43,70,61,92,2,7,1,0,182.0,25,48,12,15,6,7,15,32,14,22,14,16
2026-08-15,http://ufcstats.com/fight-details/53902dcb3e213b18,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Mansur Abdul-Malik,Dustin Stoltzfus,Middleweight,SUB,2,4:25,565.0,http://ufcstats.com/fighter-details/841695e02c99a521,http://ufcstats.com/fighter-details/71505842fb6455c3,3,8,3 Rnd (5-5-5),0,34,67,34,68,1,1,0,0,37.0,19,48,9,11,6,8,22,45,9,14,3,8
2026-08-15,http://ufcstats.com/fight-details/8e482cead0c7eb15,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Esteban Ribovics,Edson Barboza,Lightweight,KO/TKO,2,1:32,392.0,http://ufcstats.com/fighter-details/323d4ca260dfa0ba,http://ufcstats.com/fighter-details/64a50dad704d1d49,4,7,3 Rnd (5-5-5),0,63,126,70,133,0,0,0,0,19.0,41,101,10,11,12,14,49,107,14,18,0,1
2026-08-15,http://ufcstats.com/fight-details/8e482cead0c7eb15,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Edson Barboza,Esteban Ribovics,Lightweight,KO/TKO,2,1:32,392.0,http://ufcstats.com/fighter-details/64a50dad704d1d49,http://ufcstats.com/fighter-details/323d4ca260dfa0ba,4,7,3 Rnd (5-5-5),0,30,64,30,64,0,0,0,0,0.0,13,42,11,16,6,6,29,63,1,1,0,0
2026-08-15,http://ufcstats.com/fight-details/6e495deac1f57169,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Chidi Njokuani,Joel Alvarez,Welterweight,U-DEC,3,5:00,900.0,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,5,6,3 Rnd (5-5-5),0,155,229,159,233,0,1,0,0,12.0,51,100,56,76,48,53,149,222,6,7,0,0
2026-08-15,http://ufcstats.com/fight-details/6e495deac1f57169,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Joel Alvarez,Chidi Njokuani,Welterweight,U-DEC,3,5:00,900.0,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,5,6,3 Rnd (5-5-5),0,74,164,76,166,0,0,0,0,26.0,37,120,19,25,18,19,72,161,2,3,0,0
2026-08-15,http://ufcstats.com/fight-details/e7c11d1b22d50ba0,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Charles Johnson,Eduardo Chapolin,Catch Weight,SUB,3,1:36,696.0,http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fighter-details/62f3039da2f92a8c,6,5,3 Rnd (5-5-5),0,66,142,70,146,0,5,1,0,13.0,40,106,14,22,12,14,63,136,1,2,2,4
2026-08-15,http://ufcstats.com/fight-details/e7c11d1b22d50ba0,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Eduardo Chapolin,Charles Johnson,Catch Weight,SUB,3,1:36,696.0,http://ufcstats.com/fighter-details/62f3039da2f92a8c,http://ufcstats.com/fighter-details/814e5233e2acf2ee,6,5,3 Rnd (5-5-5),1,55,131,59,137,1,4,0,0,72.0,22,84,13,20,20,27,49,122,2,3,4,6
2026-08-15,http://ufcstats.com/fight-details/9c5da658c76da7c0,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Donte Johnson,Eric McConico,Middleweight,KO/TKO,1,1:38,98.0,http://ufcstats.com/fighter-details/ad5cb64af10fc946,http://ufcstats.com/fighter-details/9508cc6184cb2450,7,4,3 Rnd (5-5-5),1,11,31,11,31,0,0,0,0,0.0,9,29,1,1,1,1,9,28,0,1,2,2
2026-08-15,http://ufcstats.com/fight-details/9c5da658c76da7c0,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Eric McConico,Donte Johnson,Middleweight,KO/TKO,1,1:38,98.0,http://ufcstats.com/fighter-details/9508cc6184cb2450,http://ufcstats.com/fighter-details/ad5cb64af10fc946,7,4,3 Rnd (5-5-5),0,6,15,6,15,0,1,0,0,3.0,4,13,1,1,1,1,5,14,1,1,0,0
2026-08-15,http://ufcstats.com/fight-details/e79e4d13546d2360,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Tresean Gore,Vicente Luque,Middleweight,U-DEC,3,5:00,900.0,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,http://ufcstats.com/fighter-details/6d4b63c767106d3a,8,3,3 Rnd (5-5-5),0,65,136,98,179,0,2,1,0,225.0,53,120,2,3,10,13,39,107,4,5,22,24
2026-08-15,http://ufcstats.com/fight-details/e79e4d13546d2360,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Vicente Luque,Tresean Gore,Middleweight,U-DEC,3,5:00,900.0,http://ufcstats.com/fighter-details/6d4b63c767106d3a,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,8,3,3 Rnd (5-5-5),0,46,122,50,127,0,1,1,0,44.0,31,104,7,7,8,11,43,118,3,4,0,0
2026-08-15,http://ufcstats.com/fight-details/360b13f97e7ca703,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Lucas Fernando,Rafael Tobias,Light Heavyweight,KO/TKO,3,1:10,670.0,http://ufcstats.com/fighter-details/3df223aeaacecf3f,http://ufcstats.com/fighter-details/d6a8edb7410223a0,9,2,3 Rnd (5-5-5),2,69,115,69,115,0,0,0,0,9.0,37,80,18,20,14,15,66,111,1,1,2,3
2026-08-15,http://ufcstats.com/fight-details/360b13f97e7ca703,http://ufcstats.com/event-details/b96619b3acd7d9da,L,Rafael Tobias,Lucas Fernando,Light Heavyweight,KO/TKO,3,1:10,670.0,http://ufcstats.com/fighter-details/d6a8edb7410223a0,http://ufcstats.com/fighter-details/3df223aeaacecf3f,9,2,3 Rnd (5-5-5),0,13,56,14,58,1,1,0,0,55.0,5,47,5,5,3,4,11,52,1,2,1,2
2026-08-15,http://ufcstats.com/fight-details/e7077d030d5fc15f,http://ufcstats.com/event-details/b96619b3acd7d9da,W,Neil Magny,Ramiz Brahimaj,Welterweight,KO/TKO,2,3:20,500.0,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/3d074044a33825e7,10,1,3 Rnd (5-5-5),0,24,38,61,78,0,1,1,1,59.0,20,34,1,1,3,3,9,18,2,3,13,17
