date,result,fighter,opponent,division,method,round,time,knockdowns,sub_attempts,pass,reversals,takedowns_landed,takedowns_attempts,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts,fighter_stance,opponent_stance,index
"September 28, 2024",W,Renato Moicano,Benoit Saint Denis,Lightweight,KO/TKO,2,5:00,0,0,0.0,4:53,1,3,50,72,72,98,46,66,0,1,4,5,17,35,0,1,33,36,0.0,1.0,0
"September 28, 2024",L,Benoit Saint Denis,Renato Moicano,Lightweight,KO/TKO,2,5:00,0,0,0.0,0:05,0,0,25,60,35,70,13,44,10,14,2,2,25,60,0,0,0,0,1.0,0.0,1
"September 28, 2024",W,Nassourdine Imavov,Brendan Allen,Middleweight,U-DEC,3,5:00,0,0,0.0,5:47,0,0,57,86,79,114,51,80,5,5,1,1,37,59,7,9,13,18,0.0,0.0,2
"September 28, 2024",L,Brendan Allen,Nassourdine Imavov,Middleweight,U-DEC,3,5:00,0,0,0.0,6:06,1,10,30,52,56,82,20,41,4,5,6,6,20,38,6,10,4,4,0.0,0.0,3
"September 28, 2024",W,William Gomis,Joanderson Brito,Featherweight,S-DEC,3,5:00,0,0,1.0,3:52,0,3,43,71,69,101,16,35,18,27,9,9,30,57,13,14,0,0,1.0,0.0,4
"September 28, 2024",L,Joanderson Brito,William Gomis,Featherweight,S-DEC,3,5:00,0,2,0.0,6:40,3,6,29,67,57,105,9,39,5,8,15,20,23,60,2,3,4,4,0.0,1.0,5
"September 28, 2024",W,Bryan Battle,Kevin Jousset,Welterweight,KO/TKO,2,3:47,0,0,0.0,3:31,0,3,97,170,118,194,79,146,17,23,1,1,80,145,17,25,0,0,0.0,0.0,6
"September 28, 2024",L,Kevin Jousset,Bryan Battle,Welterweight,KO/TKO,2,3:47,0,0,0.0,0:12,0,2,58,97,63,107,31,66,10,12,17,19,46,84,12,13,0,0,0.0,0.0,7
"September 28, 2024",W,Morgan Charriere,Gabriel Miranda,Featherweight,KO/TKO,2,0:27,1,0,1.0,2:12,2,2,19,28,28,37,15,23,1,1,3,4,10,17,2,3,7,8,0.0,0.0,8
"September 28, 2024",L,Gabriel Miranda,Morgan Charriere,Featherweight,KO/TKO,2,0:27,0,0,0.0,1:07,1,4,11,38,17,45,7,23,3,11,1,4,9,34,2,4,0,0,0.0,0.0,9
"September 28, 2024",W,Fares Ziam,Matt Frevola,Lightweight,KO/TKO,3,2:59,1,1,1.0,4:43,4,4,58,94,69,107,44,77,11,14,3,3,45,75,7,9,6,10,0.0,0.0,10
"September 28, 2024",L,Matt Frevola,Fares Ziam,Lightweight,KO/TKO,3,2:59,0,1,1.0,2:47,1,3,16,59,25,72,7,44,7,12,2,3,9,49,7,10,0,0,0.0,0.0,11
"September 28, 2024",W,Ion Cutelaba,Ivan Erslan,Light Heavyweight,S-DEC,3,5:00,0,0,0.0,1:59,3,12,45,120,80,161,24,93,9,14,12,13,38,112,6,7,1,1,1.0,5.0,12
"September 28, 2024",L,Ivan Erslan,Ion Cutelaba,Light Heavyweight,S-DEC,3,5:00,0,0,1.0,5:19,1,2,39,69,63,101,29,59,7,7,3,3,33,61,5,6,1,2,5.0,1.0,13
